review_text,rating,author,date,nama desa wisata,provinsi
Rekomen pokoke,5,Totom Tommy,2020-01-08T11:33:08.513Z,Desa Wisata Setulang,Kalimantan Utara
Good place for cultural attraction,5,Wahyudi Lumakso,2020-01-02T10:05:36.134Z,Desa Wisata Setulang,Kalimantan Utara
Luar biasa,5,Jekson S. H,2020-01-01T16:49:30.640Z,Desa Wisata Setulang,Kalimantan Utara
Desa wisata setulang kampung halamanku.,5,Inu Suyana,2019-12-26T04:27:01.640Z,Desa Wisata Setulang,Kalimantan Utara
Tenang dan asri,5,Selviana Seni,2019-12-12T02:26:47.448Z,Desa Wisata Setulang,Kalimantan Utara
Mantap n asik,5,Bagus Wahyu,2019-12-08T06:59:55.666Z,Desa Wisata Setulang,Kalimantan Utara
"Penduduk sekitar ramah, budayanya luar biasa.",5,Suyata Adelina Tanjung,2019-11-09T08:18:59.701Z,Desa Wisata Setulang,Kalimantan Utara
Nicee...,4,Midy Jokerz,2019-10-31T07:09:55.912Z,Desa Wisata Setulang,Kalimantan Utara
Super sekali.,5,Justin Ktt,2019-10-11T11:35:13.672Z,Desa Wisata Setulang,Kalimantan Utara
Objek wisata bagus,5,Stefanus Pratomo,2019-10-07T04:36:46.510Z,Desa Wisata Setulang,Kalimantan Utara
"Mungkin kalau pas ada acara di malam hari lebih bagus, siang hari lebih penat sangat.",3,Roi Lonly,2019-09-28T09:19:53.231Z,Desa Wisata Setulang,Kalimantan Utara
Balai adat dayak,5,Medina Darka,2019-09-21T12:29:39.102Z,Desa Wisata Setulang,Kalimantan Utara
Karena desa andalan saya,5,Alek Fankurin,2019-09-12T03:27:44.891Z,Desa Wisata Setulang,Kalimantan Utara
Desa wisata Setulang memiliki daya tarik tersendiri dgn atraksi seni budayanya dan obyek wisata alamnya yg indah dan alami dg hutan desa yg virgin didalamnya masih dpt kita temukan pohon pohon besar sembari menyusuri anak sungai dg trekking menikmati sejuknya udara dan indahnya pemandangan alam.,4,P. C. S,2019-09-04T00:06:22.412Z,Desa Wisata Setulang,Kalimantan Utara
Mantap boy,5,Lotong Moezza,2019-09-03T17:13:54.561Z,Desa Wisata Setulang,Kalimantan Utara
Luar biasa Sangat Indah,5,Cen Cen Vlog,2019-08-19T13:34:42.285Z,Desa Wisata Setulang,Kalimantan Utara
Oke lah,5,Daniel Daring Balang,2019-07-26T02:44:48.162Z,Desa Wisata Setulang,Kalimantan Utara
"desanya bersih, nyaman...seru kalo lg ada acara2 adat",5,Stefano Evans,2019-07-23T16:25:49.610Z,Desa Wisata Setulang,Kalimantan Utara
Desa wisata yg super unik. Harus datang bagi yang suka wisata budaya dan alam,5,Helmy Setiabudi,2019-07-05T03:47:06.800Z,Desa Wisata Setulang,Kalimantan Utara
Best forestry,5,Nobriel Pagun,2019-06-30T17:18:24.461Z,Desa Wisata Setulang,Kalimantan Utara
Sangat baik hati indah suasana Alam,5,Markus Yuteng,2019-06-19T05:44:09.978Z,Desa Wisata Setulang,Kalimantan Utara
Setulang Is The Best👍👍👍,5,Febri Mayuri,2019-06-11T22:02:09.367Z,Desa Wisata Setulang,Kalimantan Utara
Desa wisata setulang luar biada.bersih dan ramah.,5,DAUD PANGUT,2019-06-10T23:32:25.358Z,Desa Wisata Setulang,Kalimantan Utara
Desa wisata adat dan wisata alam,5,wiliam gerson,2019-06-09T07:12:13.194Z,Desa Wisata Setulang,Kalimantan Utara
Suasana yg asri warga nya yang Ramah....seni budaya yang bagus wajib untuk dikunjungi.,4,Hunter A88,2019-06-07T05:45:10.136Z,Desa Wisata Setulang,Kalimantan Utara
Nice trip,4,heppryn widiasto,2019-06-05T10:55:06.426Z,Desa Wisata Setulang,Kalimantan Utara
Sangat indah dan baguss,5,Hagai Laing,2019-06-01T14:02:28.148Z,Desa Wisata Setulang,Kalimantan Utara
"Desa Wisata Yang mudahan semakin maju
.....",5,Ran Dofa,2019-05-31T20:31:36.795Z,Desa Wisata Setulang,Kalimantan Utara
tempat nyaman dan masih alami,5,Esau Tapa Palintong,2019-05-16T02:51:06.360Z,Desa Wisata Setulang,Kalimantan Utara
Luar biasaa.. 🤗😍😍😍,5,Oteny Ayie,2019-05-05T06:31:48.662Z,Desa Wisata Setulang,Kalimantan Utara
The village is clean and cellular network is very good (4G),5,Agus Girsang,2019-05-03T07:09:47.246Z,Desa Wisata Setulang,Kalimantan Utara
4G,5,Mario Penyang,2019-04-27T23:31:18.466Z,Desa Wisata Setulang,Kalimantan Utara
mantap dan luar biasa,5,Abdul Rahman,2019-04-26T15:53:47.898Z,Desa Wisata Setulang,Kalimantan Utara
Desa wisata setulang surganya Borneo,5,Rumulus Rumulus,2019-04-17T04:28:35.420Z,Desa Wisata Setulang,Kalimantan Utara
Org2nya very kind dan friendly. Desa nya beautiful banget!,5,Prem Promono Handoko,2019-03-25T04:41:37.273Z,Desa Wisata Setulang,Kalimantan Utara
Budaya Dayak yg masih kental...,5,Kalven chanel,2019-03-07T08:54:37.087Z,Desa Wisata Setulang,Kalimantan Utara
Menu lepu,5,Dofa Army,2019-01-21T10:49:49.153Z,Desa Wisata Setulang,Kalimantan Utara
"Great place to see indonesian culture especially dayak tribe,and exploring the bornean rainforest in Tane Olen",5,Indah SS,2019-01-04T00:00:26.879Z,Desa Wisata Setulang,Kalimantan Utara
Real of sapta pesona,5,marleni rovana,2019-01-03T03:13:28.886Z,Desa Wisata Setulang,Kalimantan Utara
