review,cleaned_review,cleaned_review_stemmed,nama desa wisata,provinsi
tempatnya bagus bgt! cocok buat nyantai dan harga tiketnya sudah murah cuma 5.000 ajaa mulai bulan oktober ini. terus makanan dan minumannya enak2 semua dengan harga yang ramah di kantong 😃. dan di bagian amfiteater bisa di gunakan untuk acara2 besar dan untuk pemakaian tempat nya tidak di kenakan biayaa atau gratiss gais!!! syaratnya cuma beli makanan dan minuman di kampung ketupat 😍,tempatnya bagus banget cocok nyantai harga tiketnya murah oktober makanan minumannya harga ramah kantong amfiteater acara pemakaian kenakan biayaa gratis gais syaratnya beli makanan minuman kampung ketupat,tempat bagus banget cocok nyantai harga tiket murah oktober makan minum harga ramah kantong amfiteater acara pakai kena biayaa gratis gais syarat beli makan minum kampung ketupat,Kampung Ketupat,Kalimantan Selatan
ini tempat sangat baguuus  untuk spots poto bagus bangeet dan sekarang sudah murah kaliii masuk nya cumaa 5K aja lu,bagus spots poto bagus banget murah cumaa kak lu,bagus spots poto bagus banget murah cumaa kak lu,Kampung Ketupat,Kalimantan Selatan
"Tempatnya sangat cocok untuk Quality Time dan harga tiketnya sangat terjangkau cuma Rp5000 aja sekarang, belum lagi makanan dan minuman nya enak enak, Pokoknya okee buat di jadiin daftar pilihan wisata di Banjarmasin",tempatnya cocok quality time harga tiketnya terjangkau rp makanan minuman pokoknya okee jadikan daftar pilihan wisata banjarmasin,tempat cocok quality time harga tiket jangkau rp makan minum pokok okee jadi daftar pilih wisata banjarmasin,Kampung Ketupat,Kalimantan Selatan
"Tempat nya bagus, instagramable banget buat foto² dan harga tiket nya worth it bgt buat pelajar dan mahasiswa",bagus instagramable banget foto harga tiket worth banget pelajar mahasiswa,bagus instagramable banget foto harga tiket worth banget ajar mahasiswa,Kampung Ketupat,Kalimantan Selatan
overall sdh bagus..,overall bagus,overall bagus,Kampung Ketupat,Kalimantan Selatan
Sangat memuaskan dan juga adanya penampilan di sana memperindah suasana tempat tersebut,memuaskan penampilan memperindah suasana,muas tampil indah suasana,Kampung Ketupat,Kalimantan Selatan
Salah satu Destinasi wisata unggulan kita Banjarmasin,salah destinasi wisata unggulan banjarmasin,salah destinasi wisata unggul banjarmasin,Kampung Ketupat,Kalimantan Selatan
"Salah satu pilihan baru buat nongkrong di Banjarmasin. Nama tempatnya sih Kampung Ketupat, tapi jangan cari ketupat ya di sana 😀
Tempat ini adalah pujasera dengan konsep outdoor, yang letaknya di tepi sungai, di tengah kota, tepatnya di samping jembatan arah ke Pal 1. Tempatnya masih baru, bersih, dan apik. Banyak macam2 kedai makanan, sayangnya tidak seluruhnya buka saat kesana, weekday sepulang kerja. Masuknya bayar ya ini, htm nya @10rb rupiah, yang tiketnya bisa ditukar dengan segelas es teh.",salah pilihan nongkrong banjarmasin nama tempatnya kampung ketupat cari ketupat pujasera konsep outdoor letaknya tepi sungai tengah kota tepatnya samping jembatan arah pal tempatnya bersih apik kedai makanan sayangnya buka kesana weekday sepulang masuknya bayar htm rupiah tiketnya ditukar segelas es teh,salah pilih nongkrong banjarmasin nama tempat kampung ketupat cari ketupat pujasera konsep outdoor letak tepi sungai tengah kota tepat samping jembatan arah pal tempat bersih apik kedai makan sayang buka kesana weekday pulang masuk bayar htm rupiah tiket tukar gelas es teh,Kampung Ketupat,Kalimantan Selatan
Bagus buat santai sambil memandang sungai,bagus santai memandang sungai,bagus santai pandang sungai,Kampung Ketupat,Kalimantan Selatan
Lumayan,lumayan,lumayan,Kampung Ketupat,Kalimantan Selatan
