review,review_text,rating,author,date,nama desa wisata
fun games nya fun banget outbound nya anak2 dan ibu nya senang sungai nya so far amaannn rasa makanan mohon ditingkatkan lagi kamar mandi nya memadai,"Fun games nya fun banget, outbound nya anak2 dan ibu nya senang, sungai nya so far amaannn... rasa makanan mohon ditingkatkan lagi... Kamar mandi nya memadai.",4,marva raqilla,2024-07-28T21:18:54.603Z,Pulesari
unik menarik suasana desa jawa yg rumah2 nya bersih sungai kecilnya jg bersih mengenang masa kecil yg suka berpetualang,Unik menarik suasana desa Jawa yg rumah2 nya bersih sungai kecilnya jg bersih... Mengenang masa kecil yg suka berpetualang....,5,Keiko Cam,2024-07-27T11:54:04.765Z,Pulesari
diberdayakan oleh warga sekitar dikelola dg baik suasana desa yg masih asri dg orang orang yg ramah dan sangat membantu,"Diberdayakan oleh warga sekitar. Dikelola dg baik, suasana desa yg masih asri dg orang orang yg ramah dan sangat membantu.",4,Ratih Purnamasari,2024-07-25T10:16:13.592Z,Pulesari
favorit lah untuk kegiatan acara outbound bareng2 seperti pusahaan keluarga sekolah yayasan dll karena suasana sejuk asri dan tentunya murah,"Favorit lah untuk kegiatan acara Outbound bareng2 seperti pusahaan, keluarga, sekolah, yayasan dll... Karena suasana sejuk, asri, dan tentunya murah",5,Aship Barhoya,2024-07-14T14:19:19.062Z,Pulesari
suasana sejuk dan air sungainya masih bersih,Suasana sejuk dan air sungainya masih bersih,5,Arif Pramana,2024-07-04T12:48:02.055Z,Pulesari
menarik sekali pengelola baik dan ramah anak2 diajak bermain utk melatih konsentrasi yang lebih menarik waktu susur sungai top,"Menarik sekali. Pengelola baik dan ramah. Anak2 diajak bermain utk melatih konsentrasi.
Yang lebih menarik waktu susur sungai, top.....👍👍👍",5,Yupi Rahayu,2024-06-25T22:39:59.054Z,Pulesari
pengurus nya sungguh sombong sekali tidak sekali pun kami ditemui untuk koordinasi lama sekali kami penyelenggara kegiatan bawa peserta 110 orang di kenakan biaya makan 120pax info nya hitung nya lewat cctv aneh ketemu juga model kaya gini di jogja,"pengurus nya sungguh sombong sekali, tidak sekali pun kami ditemui, untuk koordinasi lama sekali, kami penyelenggara kegiatan bawa peserta 110 orang, di kenakan biaya makan 120pax, info nya hitung nya lewat cctv, aneh ketemu juga model kaya gini di jogja",2,eri kembara,2024-06-02T08:30:03.194Z,Pulesari
tempat outbond atau gathering di turi fasilitasnya lengkap terdapat pendopo ada tracking ke sungai fasilitatornya ramah dan selalu sigap mendampingi makanannya enak dan tempat parkirnya luas,"Tempat outbond atau gathering di Turi. Fasilitasnya lengkap, terdapat pendopo, ada tracking ke sungai, fasilitatornya ramah dan selalu sigap mendampingi, makanannya enak, dan tempat parkirnya luas.",4,Nurrohma Ningrum,2024-05-28T10:45:12.299Z,Pulesari
kemarin habis dari sana maaf bgt harus bilang kalau tempat istirahat nya kurang nyaman kotor kaya gak di sapu banyak sarang laba laba nya di genteng knp gak di bersihkan dulu tiker kotor kamar mandi kotor bau pesing bgt makanan hambar tolong di perbaiki semuanya,"kemarin habis dari sana, maaf bgt harus bilang kalau tempat istirahat nya kurang nyaman, kotor, kaya gak di sapu, banyak sarang laba-laba nya di genteng knp gak di bersihkan dulu, tiker kotor, kamar mandi kotor bau pesing bgt, makanan hambar, tolong di perbaiki semuanya",3,Widi Navita sari,2024-05-22T07:04:29.358Z,Pulesari
cukup bagus banyak varian paket utk acara outbond dan refreshing edukasi harga murah dg vasilitas snak pemandu dan berakhir makan siang mushola tempat wudhu bagus rapi cukuo bersih l,Cukup bagus banyak  varian paket utk acara outbond dan refreshing  edukasi..harga murah dg vasilitas snak  pemandu dan berakhir makan siang ..mushola tempat wudhu bagus rapi cukuo bersih...l,5,UMMAH Griya Sehat Cantik Muslimah (GSCM),2024-05-15T21:37:24.791Z,Pulesari
