review,cleaned_review,cleaned_review_stemmed,nama desa wisata,provinsi
Lain waktu kesini lagi☺️,waktu kesini,waktu kesini,Pulau Kumayan Kota,Bengkulu
"Tempat rekreasi buat keluarga, cocok buat anak², aksesnya mudah, biaya masuk juga terjangkau, masih termasuk di dalam kota walu sedikit jauh sih dari tengah kota.",rekreasi keluarga cocok anak aksesnya mudah biaya terjangkau kota walu tengah kota,rekreasi keluarga cocok anak akses mudah biaya jangkau kota walu tengah kota,Pulau Kumayan Kota,Bengkulu
"Buat liburan singkat bareng keluarga. Tempatnya mudah dijangkau. Sepertinya msh banyak yg belum selesai dibangun, tapi sejauh ini udah bagus, ga kalah dari tempat wisata lain. Yang mau naik perahu2 gitu bisa juga. Sejuk juga krn banyak pohon dan bunga. Sementara bintang 4 dulu, Next kalo kesana lagi dan sudah lebih baik tata kelolanya kita tambah bintangnya. Dan semoga kdepannya tempat wisata ini ga nambah2 pungutan biaya kayak tempat wisata lain yg viral2 itu hehee sejauh ini di kumayan cuma diminta tiket masuk aja kok di gerbang depan, dan itu murah banget ga sampe 10ribu per org. Semoga konsisten ya",liburan singkat bareng keluarga tempatnya mudah dijangkau selesai dibangun bagus kalah wisata perahu sejuk pohon bunga next kalo kesana tata kelolanya bintangnya semoga kdepannya wisata bertambah pungutan biaya kayak wisata viral hehee kumayan tiket gerbang murah banget ribu semoga konsisten,libur singkat bareng keluarga tempat mudah jangkau selesai bangun bagus kalah wisata perahu sejuk pohon bunga next kalo kesana tata kelola bintang moga kdepannya wisata tambah pungut biaya kayak wisata viral hehee kumayan tiket gerbang murah banget ribu moga konsisten,Pulau Kumayan Kota,Bengkulu
Suka sekali tempat ini,suka,suka,Pulau Kumayan Kota,Bengkulu
"Jagalah kebersihan lingkungan
Jangan buang sampah sembarangan
Buanglah sampah pada tempat..
Kebersihan sebagian dari iman..
Tanamkan kesadaran dari hal hal yang kecil dengan tidak membuang sampah sembarangan...
Mulailah dari diri sendiri...",jagalah kebersihan lingkungan buang sampah sembarangan buanglah sampah kebersihan iman tanamkan kesadaran membuang sampah sembarangan,jaga bersih lingkung buang sampah sembarang buang sampah bersih iman tanam sadar buang sampah sembarang,Pulau Kumayan Kota,Bengkulu
"Bagus, nyaman, cocok buat keluarga",bagus nyaman cocok keluarga,bagus nyaman cocok keluarga,Pulau Kumayan Kota,Bengkulu
"Memang perlu pengembangan lebih lanjut..
Sarana dan prasarana perlu ditingkatkan lagi..shg membuat pengunjung betah...",pengembangan sarana prasarana ditingkatkan shg pengunjung betah,kembang sarana prasarana tingkat shg unjung betah,Pulau Kumayan Kota,Bengkulu
"Lingkungannya bersih, biaya masuk Rp 5000/orang, parkir motor Rp 2000,  berasa di hutan amazon 😁",lingkungannya bersih biaya rp parkir motor rp berasa hutan amazon,lingkung bersih biaya rp parkir motor rp asa hutan amazon,Pulau Kumayan Kota,Bengkulu
"Objek wisata baru, unik & masih terawat (semoga sampai seterusnya ✌🏻)
Akses jalan ke sini masih oke, parkir luas, restroom masih aman, spot foto banyak pilihan (semoga yang natural2 aja ya, jangan warna warni nanti ga matching sama alamnya 🥺)
Weekend? Pasti rame! 😅 Kalo mau foto ga ‘bocor’ ke sini pas weekday aja 😄",objek wisata unik terawat semoga akses jalan oke parkir luas restroom aman spot foto pilihan semoga natural warna warni matching alamnya weekend rame kalo foto bocor pas weekday,objek wisata unik awat moga akses jalan oke parkir luas restroom aman spot foto pilih moga natural warna warni matching alam weekend rame kalo foto bocor pas weekday,Pulau Kumayan Kota,Bengkulu
Tempat yang nyaman buat refreshing,nyaman refreshing,nyaman refreshing,Pulau Kumayan Kota,Bengkulu
