review,cleaned_review,cleaned_review_stemmed,nama desa wisata,provinsi
"Nice view of Mamuju City, lokasi tidak jauh. Mantaap kembangkan laah",nice view of mamuju city lokasi mantap kembangkan laah,nice view of mamuju city lokasi mantap kembang laah,Mamuju City,Sulawesi Barat
Bagus cuman JalanNya terjal jg perlu Kendaraan yg bagus untuk kesana,bagus cuman jalannya terjal kendaraan bagus kesana,bagus cuman jalan terjal kendara bagus kesana,Mamuju City,Sulawesi Barat
"Untuk akses jalan terlalu ekstrim untuk pemula yang baru tahu cara mengemudi tetapi untu yang pro mobil tua seperti mobilku bisa naik kelokasi... Ada beberapa gazebo yang telah disediakan dan juga warung yang sedang jualan disekitar lokasi ini... Pemandangan yang disediakan juga luar biasa, dari sini kita bisa menikmati kota mamuju dan pulau karampuang yang memukau... Nampaknya kurang rasanya berkunjung kemamuju tanpa mengunjungi tempat ini...",akses jalan ekstrim pemula mengemudi untu pro mobil tua mobilku kelokasi gazebo disediakan warung jualan disekitar lokasi pemandangan disediakan menikmati kota mamuju pulau karampuang memukau nampaknya berkunjung kemamuju mengunjungi,akses jalan ekstrim mula kemudi untu pro mobil tua mobil lokasi gazebo sedia warung jual sekitar lokasi pandang sedia nikmat kota mamuju pulau karampuang pukau nampaknya kunjung kemamuju unjung,Mamuju City,Sulawesi Barat
Gus view,gus view,gus view,Mamuju City,Sulawesi Barat
"2 Juni 2022
.
hari ke sebelas setelah keberangkatan dari kota jambi, akhirnya bisa singgah di mamuju.
tempat menaeik utk melepas lelah karena perjalanan jauh.
tempat disini cukup menarik namun sayang sekali sangat sedikit tempat sampah sehingga membuat banyak pengunjung yg membuang sampah sembarangan.
Jalur ke tempat ini juga cukup terjal & ekstrim.
semoga pihak pariwisata & pemkot mamuju harus memperhatikan hal ini agar menyediakan tempat sampah yang banyak.
Doakan saya yang akan melakukan ""tour de celebes"" agar mampu menyelesaikan misi saya dan dapat pulang ke kota jambi dengan selamat bersama Binter Merzy kesayangan saya.",juni sebelas keberangkatan kota jambi singgah mamuju menaeik melepas lelah perjalanan menarik sayang sampah pengunjung membuang sampah sembarangan jalur terjal ekstrim semoga pariwisata pemkot mamuju memperhatikan menyediakan sampah doakan tour dek celebes menyelesaikan misi pulang kota jambi selamat binter merzy kesayangan,juni sebelas berangkat kota jambi singgah mamuju menaeik lepas lelah jalan tarik sayang sampah unjung buang sampah sembarang jalur terjal ekstrim moga pariwisata pemkot mamuju perhati sedia sampah doa tour dek celebes selesai misi pulang kota jambi selamat binter merzy sayang,Mamuju City,Sulawesi Barat
"pemandangan bagus, sayang kurang terawat dan aksesnya kurang bagus",pemandangan bagus sayang terawat aksesnya bagus,pandang bagus sayang awat akses bagus,Mamuju City,Sulawesi Barat
"Salah satu icon di Kota Mamuju, sangat cocok bagi yang mau trakking ke atas icon tersebut, tapi sayangnya keadaannya kurang terawat, banyak sekali tumbuhan liar, dan coretan coretan di iconnya, untuk viewnya lumayan bagus.",salah icon kota mamuju cocok trakking icon sayangnya keadaannya terawat tumbuhan liar coretan coretan iconnya viewnya lumayan bagus,salah icon kota mamuju cocok trakking icon sayang ada awat tumbuh liar coret coret iconnya viewnya lumayan bagus,Mamuju City,Sulawesi Barat
View kota Mamuju sangat indah dr sini,view kota mamuju indah,view kota mamuju indah,Mamuju City,Sulawesi Barat
Mamuju indah...,mamuju indah,mamuju indah,Mamuju City,Sulawesi Barat
Menikmati pemandangan malam kota mamuju dari atas. Sangat keren,menikmati pemandangan malam kota mamuju keren,nikmat pandang malam kota mamuju keren,Mamuju City,Sulawesi Barat
"Tempat terbaik untuk keluarga berakhir pekan, disini viewnya sangat bagus kearah kota Mamuju. Ada fasilitas hiburan dan makan juga.",terbaik keluarga pekan viewnya bagus kearah kota mamuju fasilitas hiburan makan,baik keluarga pekan viewnya bagus arah kota mamuju fasilitas hibur makan,Mamuju City,Sulawesi Barat
Keren sih.,keren,keren,Mamuju City,Sulawesi Barat
Indah di mlm hari,indah malam,indah malam,Mamuju City,Sulawesi Barat
Good,good,good,Mamuju City,Sulawesi Barat
Pemandangan di kelapa tuju bagus tapi masih perlu di kembangkan lagi untuk jadi tujuan wisata,pemandangan kelapa bagus kembangkan tujuan wisata,pandang kelapa bagus kembang tuju wisata,Mamuju City,Sulawesi Barat
Kapan lagi kesini,kesini,kesini,Mamuju City,Sulawesi Barat
Spot melihat kota Mamuju yg bagus,spot kota mamuju bagus,spot kota mamuju bagus,Mamuju City,Sulawesi Barat
No komen.....,no komen,no komen,Mamuju City,Sulawesi Barat
Banyak orang jual duren enak,jual duren,jual duren,Mamuju City,Sulawesi Barat
Mantap,mantap,mantap,Mamuju City,Sulawesi Barat
"Dipuncak kelapa tuju,  kita bisa berfoto dengan back ground simbol kota mamuju(mamuju city)  atau pulau karampuang atau pegunungan di sekitar.",dipuncak kelapa berfoto back ground simbol kota mamuju mamuju city pulau karampuang pegunungan,puncak kelapa foto back ground simbol kota mamuju mamuju city pulau karampuang gunung,Mamuju City,Sulawesi Barat
"Kotanya cantik, brbukit2...sy ga prnh lupa tuk muter2 kota sekaligus mnginap, ga bosan jln2 keliling kota mnikmati mknanan dn panoramanya yg indah...mamuju city ..👍👍",kotanya cantik brbukit lupa muter kota mnginap bosan jalan keliling kota mnikmati mknanan panoramanya indah mamuju city,kota cantik brbukit lupa muter kota mnginap bosan jalan keliling kota mnikmati mknanan panorama indah mamuju city,Mamuju City,Sulawesi Barat
Tidak terurus dengan baik,terurus,urus,Mamuju City,Sulawesi Barat
Lokasi diatas bukit..view kerenn kota mamuju dan pantai..jalan agak ekstrim tanjakan dan tikungannya..ada beberapa stan penjual snack dan minuman...ada rumah dinas bupati mamuju..,lokasi diatas bukit view keren kota mamuju pantai jalan ekstrim tanjakan tikungannya stan penjual snack minuman rumah dinas bupati mamuju,lokasi atas bukit view keren kota mamuju pantai jalan ekstrim tanjak tikung stan jual snack minum rumah dinas bupati mamuju,Mamuju City,Sulawesi Barat
"Lokasi untuk lihat kota Mamuju dari ketinggian. Jaraknya dekat dari kota, tapi nanjaknya ektrim. Tapi Avanza ato motor matic tembus koq. Tersedia gazebo yg bisa pesan kelapa muda ato Indomie telur ma warga lokal. Di sini pulau Karampuang nampak jelas, sayang bandara ketutup bukit",lokasi kota mamuju ketinggian jaraknya kota nanjaknya ektrim avanza motor matic tembus tersedia gazebo pesan kelapa muda indomie telur warga lokal pulau karampuang menampak sayang bandara ketutup bukit,lokasi kota mamuju tinggi jarak kota nanjaknya ektrim avanza motor matic tembus sedia gazebo pesan kelapa muda indomie telur warga lokal pulau karampuang tampak sayang bandara tutup bukit,Mamuju City,Sulawesi Barat
"Viewnya keren banget, tempat ternyaman buat nikmatin sunset and sunrise sih menurutku ...",viewnya keren banget ternyaman menikmati sunset and sunrise menurutku,viewnya keren banget nyaman nikmat sunset and sunrise turut,Mamuju City,Sulawesi Barat
Menyenangkan,menyenangkan,senang,Mamuju City,Sulawesi Barat
Puncak tertinggi dikota,puncak tertinggi dikota,puncak tinggi kota,Mamuju City,Sulawesi Barat
"Puncak dataran tertinggi yang ada si sulawesi barat,dari atas sini bisa melihat langsung seluruh kota mamuju",puncak dataran tertinggi sulawesi barat kota mamuju,puncak datar tinggi sulawesi barat kota mamuju,Mamuju City,Sulawesi Barat
"Beautiful. Kupanjatkan Alhamdullilah atas ciptaanMu.
Jalan menanjak tapi sudah beraspal, jadi jangan kuatir. Wajib dikunjungi jika ke Mamuju. Waktu yang tepat adalah jam 5 waktu setempat, sambil menunggu sunset bisa minum es degan di warung berderet di tepi jalan.
Dekat dengan rumah jabatan Bupati",beautiful kupanjatkan alhamdullilah ciptaanmu jalan menanjak beraspal kuatir wajib dikunjungi mamuju waktu jam waktu menunggu sunset minum es degan warung berderet tepi jalan rumah jabatan bupati,beautiful panjat alhamdullilah cipta jalan tanjak aspal kuatir wajib kunjung mamuju waktu jam waktu tunggu sunset minum es degan warung deret tepi jalan rumah jabat bupati,Mamuju City,Sulawesi Barat
Bagus jalanan dan pemandangan cantik,bagus jalanan pemandangan cantik,bagus jalan pandang cantik,Mamuju City,Sulawesi Barat
"Tidak terurus, kotor, tulisan huruf MAMUJU banyak yang rusak",terurus kotor tulisan huruf mamuju rusak,urus kotor tulis huruf mamuju rusak,Mamuju City,Sulawesi Barat
Berada di ketinggian dengan pemandangan yg asri.,ketinggian pemandangan asri,tinggi pandang asri,Mamuju City,Sulawesi Barat
Icon kota Mamuju,icon kota mamuju,icon kota mamuju,Mamuju City,Sulawesi Barat
B aja sih. Ya oke lah kalo cuman mau liat pemandangannya. Sayang banget sih kayak kurang terurus disini tuh. Padahal bagus juga kalo ada modelan cafe cafe gazebo banyak gitu (cafe beneran wkwk) bukan cafe2an warung gitu,oke kalo cuman pemandangannya sayang banget kayak terurus bagus kalo modelan cafe cafe gazebo cafe benaran wkwk cafe an warung,oke kalo cuman pandang sayang banget kayak urus bagus kalo model cafe cafe gazebo cafe benar wkwk cafe an warung,Mamuju City,Sulawesi Barat
"Kalo soal memanjakan mata, disini tempatnya. Recommended lah. Panoramanya asik. Joss",kalo memanjakan tempatnya recommended panoramanya asik joss,kalo manja tempat recommended panorama asik joss,Mamuju City,Sulawesi Barat
"Luar biasa
..icon mamuju yang perlu di jaga fan di rawat.....perlu penataan dan sentuhan dinas terkait untuk menjadi unggulan destynasi mamuju",icon mamuju jaga fan rawat penataan sentuhan dinas terkait unggulan destynasi mamuju,icon mamuju jaga fan rawat tata sentuh dinas kait unggul destynasi mamuju,Mamuju City,Sulawesi Barat
tempaty sangat indah pemandangannya sangat luar biasa,tempaty indah pemandangannya,tempaty indah pandang,Mamuju City,Sulawesi Barat
Akses,akses,akses,Mamuju City,Sulawesi Barat
keren viewnya,keren viewnya,keren viewnya,Mamuju City,Sulawesi Barat
"Pemandangan yang sangat menakjubkan bagiku, melihat hampir seluruh kota Mamuju dari ketinggian",pemandangan menakjubkan bagiku kota mamuju ketinggian,pandang takjub bagi kota mamuju tinggi,Mamuju City,Sulawesi Barat
Serasa diatas awan cuuy,serasa diatas awan cuuy,serasa atas awan cuuy,Mamuju City,Sulawesi Barat
Liburan tipis tipis sambil memandangi laut ditemani kelapa muda. sekitar 15 menit dari kota mamuju.,liburan tipis tipis memandangi laut ditemani kelapa muda menit kota mamuju,libur tipis tipis pandang laut tani kelapa muda menit kota mamuju,Mamuju City,Sulawesi Barat
Rekomended lah,rekomended,rekomended,Mamuju City,Sulawesi Barat
Kendaraan slalu dikerumungi anak anak kawatirnya barang bawaan yg dikendaraan diambil sama anak anak dan mereka minta uang parkir,kendaraan dikerumungi anak anak kawatirnya barang bawaan dikendaraan diambil anak anak uang parkir,kendara rumung anak anak kawatirnya barang bawa kendara ambil anak anak uang parkir,Mamuju City,Sulawesi Barat
"Tempat paling oke melihat kota mamuju.tanjakan menuju lokasi sangat menantang tapi menyenangkan. Kalau di beri nilai 8,5",oke kota mamuju tanjakan lokasi menantang menyenangkan nilai,oke kota mamuju tanjak lokasi tantang senang nilai,Mamuju City,Sulawesi Barat
ini dekat dengan rumah dinas bupati mamuju...,rumah dinas bupati mamuju,rumah dinas bupati mamuju,Mamuju City,Sulawesi Barat
Pemandangan dari puncak keren banget. Terlebih dengan adanya pemandangan pulau karampuang di sudut mata.,pemandangan puncak keren banget pemandangan pulau karampuang sudut,pandang puncak keren banget pandang pulau karampuang sudut,Mamuju City,Sulawesi Barat
Luar biasa. Pemandangan yang sangat memukau yang dapat di lihat dalam ketinggian . Saya merasa seperti bebas dan damai karena tempat nya yang begitu menyejukkan dan memberi kesan damai dan harmonis,pemandangan memukau ketinggian bebas damai menyejukkan kesan damai harmonis,pandang pukau tinggi bebas damai sejuk kesan damai harmonis,Mamuju City,Sulawesi Barat
"untuk smpai atas, jalannya nanjaaaak bgt.. tapi seruu. hahaha
sesampainya di atas view nya cantik lampu rapi dan laut kesananya. anginnya ga terlalu sepoi. tapi cucoklah tempatnya buat wisata malam. kesini jangan siang saran aku, panasnya pol!. haha
tapi itu pilihan sih, bebas maunsiang atau malam.. voew nya sama2 cantik.",jalannya nanjaaaak banget seru hahaha sesampainya view cantik lampu rapi laut kesananya anginnya sepoi cucoklah tempatnya wisata malam kesini siang saran panasnya pol haha pilihan bebas maunsiang malam voew cantik,jalan nanjaaaak banget seru hahaha sampa view cantik lampu rapi laut kesana angin sepoi cucoklah tempat wisata malam kesini siang saran panas pol haha pilih bebas maunsiang malam voew cantik,Mamuju City,Sulawesi Barat
Kota mamuju terlihat sangat indah dr atas,kota mamuju indah,kota mamuju indah,Mamuju City,Sulawesi Barat
"Tempat epik untuk melihat pemandangan kota mamuju, sekedar melihat sun rise maupun sunset sambil ngopi jg ok, pokoknya kalau ke mamuju wajib ke tempat ini",epik pemandangan kota mamuju sekedar sun rise sunset ngopi ok pokoknya mamuju wajib,epik pandang kota mamuju dar sun rise sunset ngopi ok pokok mamuju wajib,Mamuju City,Sulawesi Barat
Semoga MAMUJU KUAT,semoga mamuju kuat,moga mamuju kuat,Mamuju City,Sulawesi Barat
Tempat yang pas untuk melihat keindahan kota Mamuju dari ketinggian,pas keindahan kota mamuju ketinggian,pas indah kota mamuju tinggi,Mamuju City,Sulawesi Barat
Tempat yang bagus dengan banyaknya tempat rekreasi,bagus banyaknya rekreasi,bagus banyak rekreasi,Mamuju City,Sulawesi Barat
View-nya oke,view oke,view oke,Mamuju City,Sulawesi Barat
Tempat untuk dalat melihat langsung keindahan kota Mamuju,dalat keindahan kota mamuju,dalat indah kota mamuju,Mamuju City,Sulawesi Barat
